db,dataset_size,concurrency,insert_time_sec,insert_qps,query_avg_ms,query_p50_ms,query_p95_ms,query_p99_ms,query_min_ms,query_max_ms,query_throughput_qps,cpu_after_insert,cpu_after_query,mem_after_insert_mb,mem_after_query_mb
chroma,10K,1,1.7708333333333333,5648.263333333333,3.6266666666666665,3.5389999999999997,3.880333333333333,4.428999999999999,3.138333333333333,9.607333333333333,275.73333333333335,0.0,0.0,799.6999999999999,799.5333333333333
chroma,10K,4,1.7708333333333333,5648.263333333333,9.609,9.442666666666668,12.088666666666667,16.699,6.227333333333334,18.96766666666667,5308.95,0.0,0.0,799.6999999999999,801.1
chroma,10K,8,1.7708333333333333,5648.263333333333,19.133666666666667,19.337666666666667,23.274,29.376666666666665,8.357,29.71366666666667,3660.82,0.0,0.0,799.6999999999999,801.6666666666666
chroma,10K,16,1.7708333333333333,5648.263333333333,36.61533333333333,37.67566666666667,49.449333333333335,59.062666666666665,10.004,64.41066666666667,1569.1433333333334,0.0,0.0,799.6999999999999,800.8666666666667
chroma,100K,1,25.7915,3877.2666666666664,3.787333333333333,3.7146666666666666,4.131666666666667,5.711666666666667,3.3503333333333334,7.389333333333333,264.09,0.3333333333333333,0.0,1521.8666666666668,1508.3999999999999
chroma,100K,4,25.7915,3877.2666666666664,10.520666666666667,10.429333333333334,13.421333333333335,16.281666666666666,6.074666666666666,18.30033333333333,5479.413333333334,0.3333333333333333,0.0,1521.8666666666668,1500.5666666666666
chroma,100K,8,25.7915,3877.2666666666664,20.679666666666666,20.819,23.894666666666666,26.525666666666666,10.772,27.921999999999997,3588.0699999999997,0.3333333333333333,0.0,1521.8666666666668,1499.5333333333335
chroma,100K,16,25.7915,3877.2666666666664,38.117666666666665,40.086666666666666,45.24266666666667,49.05833333333334,8.611333333333333,51.498333333333335,1951.9366666666667,0.3333333333333333,0.0,1521.8666666666668,1498.8666666666668
milvus,10K,1,6.646233333333332,1507.5833333333333,294.3156666666667,266.8856666666667,400.708,401.586,198.23766666666666,403.385,3.41,4.733333333333333,3.3666666666666667,1007.0,984.3666666666667
milvus,10K,4,6.646233333333332,1507.5833333333333,297.147,267.8433333333333,402.17066666666665,404.07166666666666,194.11733333333333,406.27,246.14333333333335,4.733333333333333,2.3666666666666667,1007.0,1003.9
milvus,10K,8,6.646233333333332,1507.5833333333333,301.0173333333333,332.3086666666667,403.574,405.834,191.88133333333334,406.0216666666667,246.29666666666665,4.733333333333333,0.6666666666666666,1007.0,1000.6333333333333
milvus,10K,16,6.646233333333332,1507.5833333333333,281.8833333333334,266.992,403.097,406.80766666666665,188.01700000000002,409.53833333333336,244.17666666666665,4.733333333333333,1.6666666666666667,1007.0,1000.6666666666666
milvus,100K,1,8.124166666666667,12343.203333333333,291.7443333333333,240.59866666666667,400.795,401.16499999999996,192.87699999999998,401.6596666666667,3.4299999999999997,2.0,0.6666666666666666,1738.7,1529.6333333333332
milvus,100K,4,8.124166666666667,12343.203333333333,297.43,274.3053333333333,407.0733333333333,411.30400000000003,186.909,413.1033333333333,242.08333333333334,2.0,1.6666666666666667,1738.7,1533.4666666666665
milvus,100K,8,8.124166666666667,12343.203333333333,293.4676666666667,273.3786666666667,415.9083333333333,427.35666666666674,174.35500000000002,428.62699999999995,233.31333333333336,2.0,1.3333333333333333,1738.7,1540.6000000000001
milvus,100K,16,8.124166666666667,12343.203333333333,314.93399999999997,325.13100000000003,435.4750000000001,445.2763333333333,132.477,452.0653333333333,221.62333333333333,2.0,0.6666666666666666,1738.7,1544.6666666666667
milvus,1M,1,28.274866666666668,35369.52333333334,296.15166666666664,227.65766666666664,420.3546666666667,530.172,175.8516666666667,579.5796666666666,3.3833333333333333,36.4,20.599999999999998,6792.033333333333,6963.233333333334
milvus,1M,4,28.274866666666668,35369.52333333334,355.77233333333334,367.7183333333333,498.30833333333334,537.2773333333333,149.46400000000003,566.6729999999999,180.33666666666667,36.4,20.533333333333335,6792.033333333333,7005.833333333333
milvus,1M,8,28.274866666666668,35369.52333333334,449.20666666666665,439.37899999999996,672.6333333333333,686.4920000000001,127.55666666666666,718.4796666666666,143.22666666666666,36.4,2.733333333333333,6792.033333333333,6973.933333333333
milvus,1M,16,28.274866666666668,35369.52333333334,784.5166666666668,761.9023333333333,1222.0003333333334,1244.3136666666667,243.82933333333332,1326.0426666666667,79.89,36.4,18.866666666666667,6792.033333333333,7155.833333333333
weaviate,10K,1,4.102266666666666,2437.85,3.4066666666666663,3.3153333333333332,3.918333333333333,5.441666666666666,2.9463333333333335,5.911666666666666,293.68333333333334,0.3333333333333333,0.6666666666666666,741.0666666666666,755.7666666666668
weaviate,10K,4,4.102266666666666,2437.85,8.718,7.827000000000001,15.333666666666666,24.869333333333334,3.5606666666666666,30.840666666666664,3306.4233333333336,0.3333333333333333,0.0,741.0666666666666,769.0333333333333
weaviate,10K,8,4.102266666666666,2437.85,15.545666666666667,12.641333333333334,30.30633333333333,49.314,4.947666666666667,62.198,1839.5033333333333,0.3333333333333333,0.0,741.0666666666666,770.4333333333334
weaviate,10K,16,4.102266666666666,2437.85,24.21766666666667,18.659666666666666,62.94499999999999,89.49633333333334,4.712,100.16199999999999,1063.3966666666668,0.3333333333333333,0.3333333333333333,741.0666666666666,770.5333333333333
weaviate,100K,1,58.08316666666667,1721.6833333333334,3.635666666666667,3.6406666666666667,3.9819999999999998,4.434666666666667,3.1310000000000002,4.727333333333333,275.0933333333333,0.0,0.0,1477.0,1475.7
weaviate,100K,4,58.08316666666667,1721.6833333333334,8.651666666666666,7.8,15.195,20.854666666666667,3.7159999999999997,28.606666666666666,3802.8799999999997,0.0,0.3333333333333333,1477.0,1474.1666666666667
